reportID,report
12904,"The BFRO Colorado Expedition was conducted in a remote area in the same part of Colorado as some major ski areas -- Vail, Ski Cooper, and Breckenridge. The area was heavily forested and had plenty of water. The expedition was well planned and was executed well. The majority of the participants arrived at the initial base camp location on 8 Sept and individual camps (groups of two-three) were positioned along the drainage.  We had all been briefed on the history of sightings, tracks, and vocalizations in the area,  and the methods we'd use to determine their presence. We spread out that evening, stayed in touch via walkie talkie, and conducted wood knocking and calling in an coordinated manner. We had night vision devices, recording devices, and IR detection equipment.  We worked well into the early morning hours (2 AM). Nothing was heard.  The next morning (9 Sept) the guides said we should move the base camp to another target area, because we would have heard any sasquatches the night before if they were in that drainage. We drove a few hours to a new location across the Continental Divide.  The night of 9 Sept was spent in canyon near the new base camp.  Participants were positioned a half mile to quarter mile intervals (I think) with the sound blaster positioned in the middle of the group. The calls and wood knocks announced and timed so as not to be confused with a response. Nothing was heard.The next day (10 Sept.), the focus moved to a different canyon, near where some possible vocalizations were heard the night before by one of the guides. A group of five or six worked the top of the drainage from well above the timber line and hiked down in the direction of the base camp.  Two others worked the road on ATVs above the valley, and a few others worked the hillsides above the drainage.  I hiked up the same drainage starting from the base camp. As I was walking up the trail next to the creek, about a mile or so from camp, I was in radio contact with the group above me. We would announce when we would call or wood knock. We could hear the knocks and calls between us, but just barely. I proceeded to a fork in the trail and found an old hunting camp site that had been used in previous years but had shown no signs of recent use.  I started to take an old trail that went through the camp site when I heard two distinct and clear wood knocks to my left approximately 150 - 200 yards away at most  close enough to startle me significantly as I was by my self.  I stopped and immediately got on the radio  no one was within a mile of two of me and no one had said they were knocking.  The sound was much closer and more distinct that those made by the guys way up on the ridge above me.  After about two minutes, I picked up a large stick and made two or three loud wood knocks in reply.  I got an immediate response of two knocks that appeared to be a little farther away (maybe 300-400 yards) but still very clear.  The knocks were similar to the first I had heard but just a little farther away.  I responded again with knocks and then a whoop or two over a 30 minute period but got no additional replies.  I was alert to any movement or smells in the area but noticed none. Eventually I decided to return to base camp. After arriving at camp I linked up with a few other guys. We road ATVs to the location where I heard the knocks to investigate further.  One guy took the ATV further on the trail that forked to the left at the old camp site. He went for about .7 miles in the direction where the sound came from. He later said he noticed a musty smell in that area. The group that worked the drainage from the top had found a couple of sets of tracks (which they photographed). I saw the pictures and thought they were pretty clear. As they moved down the valley they also noticed a distinct smell about 500 yards to the left of the above referenced wood knock incident. This is the same area where Lee picked up the smell and turned around on the trail.Some things happened later that night around the base camp. I'll let the others describe those incidents. I recommend that as a prerequisite for attending expeditions, each attendee should listen closely to the Sierra Sounds CD.  I bought it after the trip and wish I had heard it before the trip. It gives a good understanding of what they sound like, the wood knocks, the vocalizations, and all. The expedition guides from the BFRO were very informative and helpful. They brought a lot of experience to the event. The guides from Colorado had extensive knowledge of the encounters in this area, including some of their own. Other attendees were witnesses from Colorado.I hope to work with the Colorado guides and the other newbies over the next year (may even be up for a trip to Wyoming). I now have a working sound blaster, and a couple of digital trail cams  enough to be dangerous.  I hope to attend some of the other expeditions over the next year (Oklahoma, Arizona or Oregon) and work with this group again. My wife thinks I have lost it. I have to get her involved. "
15197, THE SOUNDS WERE HEARD AT LAKE MORAN. [Specifics and coordinates removed from submission at the request of the witnesses]
15211,"This just happened at 2:00 a.m. this morning and I got on this website to submit it as soon as I got home from the mountains.  I need help getting this recording off of my voice activated dictation tape recorder.  Windows Sound Recorder is just not doing the job.  I submitted a previous report #1027 for an incident in Arizona in September of 2000.  The reason I even mention the previous incident was that the camcorder I was using then did not record the sounds we heard so I purchased a Bionic Ear so I wouldn't miss an opportunity in the future and in this case it proved itself invaluable.My 16 year old son and I took a camping trip into the High Uintah mountains of Utah to go camping to escape the triple digit temperatures expected for today in the lower elevations.  Our original intent was to camp at designated campsites either at Trial Lake or Lake Washington but both campsites were full and since it was starting to get dark I decided to just find a spot off a road somewhere and set up camp.  The paved road we were on ended and we stayed on the dirt road until we found a spot adjacent to Trident Lake at about the 9700 foot level that had thick, forest surrounded meadows on both sides of the road with the lower meadow encompassing Trident Lake.  We set up in the trees next to a flat, three foot high by about eight foot diameter boulder that we used as a table, just off the dirt road.  My GPS unit marks our site at 40 deg 38' 57"" North by 110 deg 57' 51"" West but Google Earth put us at 40 deg 38'57.69"" North by 110 deg 57' 49.25"" West.  We set up camp a little distance from other people who had gotten there before us, some to the north, south and a relatively large encampment at the southern end of the large upper meadow to the west of the road.  The Bionic Ear is a parabolic sound reflector with a sensitive microphone attached to it with outputs to headphones and to a recording device.  My recording device is one of those inexpensive GE Auto Voice Tape Recording machines used in meetings to record what goes on during a meeting.  I had it all hooked up, not really expecting to even use it, but at 2:00 a.m. I was violently jolted awake by a voluminous, echoing, sonar like scream and it continued as I scrambled to turn everything on.  I twisted on the rheostat knob on the Bionic Ear and in my initial fumbling with the recorder I inadvertently hit the Stop/Eject button which opened the tape door and ejected the tape.  Cursing myself, I slammed the tape back in and hit the record button and out of the five screams that I heard (not counting what it took to wake me) I managed to record the final two screams.  On the tape you can hear the screams with the dog in the adjacent campsite doing some woofs but it was subdued and not barking like I would have expected.  After the second scream, my son tries to make some sounds and you can hear me on the tape telling him to ""shut up"" because I didn't want anything interfering with this recording.  The sound was emanating from the upper meadow to the west and it was resounding off of the trees and surrounding hillsides which you can make out in the recording.  I didn't put the earphones on because I didn't need to, it was so loud, but the earphones started a feedback with the Bionic Ear after the screams had stopped so I had to move the headphones to a position on either side of my neck to stop the feedback.  I stayed awake for a while afterwards and there was no sound, not even from the other campers for about five minutes then I could hear conversations but not the content.  I could hear tree limbs breaking about half an hour after the screams and that is when I turned on the camcorder to find out what time it was and it was reading 2:38 a.m. Saturday, July 15, 2006.  When it was light I went to the other campers with the recording and several of them were not fooled into thinking that it might have been a lone coyote or something but they were initially loathe to come right out and say what they were thinking about it.  One of them said it sounded like a monster and then I said ""You think it might have been Bigfoot?"" to which I got a relieved ""Yes!""  They were very glad that I had gotten that recording because they were starting to doubt what it was they heard.  The campers at the southern end of the West meadow said the sound came from the northern end of the meadow in the trees and they thought it was a coyote, but when you hear the tape, you know that it was not a coyote.  I lived on a 700 acre ranch for several years and we heard coyotes just about every night and this was no coyote unless it was the size of a buffalo.  The people who thought it was a coyote said their own dogs did not make a peep during the screams even though they usually would and those same dogs barked at me when I came to ask these people about the sounds.  My son also informed me later that he had been hearing the sounds before I woke up to record them but he didn't want to wake me. My GPS unit marks our site at 40 deg 38' 57"" North by 110 deg 57' 51"" West but Google Earth put us at 40 deg 38'57.69"" North by 110 deg 57' 49.25"" West."
16013," From my GPS map, I think that we saw this being just before the crossing of Trout Branch"
16518, 
17195," [GPS coordinates were provided, but edited out of public version]  The general zone: Spirit Lake."
17570,"I was one of the leaders for our church Boyscout troop along for our annual week long campout high adventure. We arrived late morning July 31 at the Summit Lake Scout camp at the summit of Disautel pass located on the Colville confederated tribes reservation this is just a short ways off state route 155 in between Nespelem and Omak. I would like to give you as much information leading up to the incident of the evening of August 1st as I believe they are all related. After arriving and getting the lodge setup. We decided to take a hike. Though we had some planned hikes loaded in our handheld GPS we decided to just pick an open ridge about two miles distant and hike up to it sticking to no trails or roads just bushwacking. We had to skirt a logging operation which was clearing some thick timber on some very steep slopes using helicopters, to ferry the logs down the slope to more accesable sites to transport it. There was lots of fresh bear sign as there were wild Blueberries and huckleberries on the lower slopes.The next morning we planned a hike to a lake about 6 miles from our camp the lake is called grant lake I believe? We hiked south down SR 155 to the coyote creek camp ground then to the right down the asphalt rd about a mile into an area where we were supposed to have a permit to enter. We had the coordinates for the lake loaded into the GPS so we just went cross country until we arrived at the lake it was about 2 miles from the coyote creek camp ground. It is a small crescent shaped lake there was an old hunting camp with a tipi frame and an old travel trailer at one end. We spent the day napping and talking and the boys swam in the lake and ran around as boys are want to do. It was a nice day we had decided to camp overnight, we had no fires as the area was quite dry. The only wildlife I noticed was a family of Lesser Scaup ducks and a family of Canada geese on the lake. No fresh deer sign there had been some cattle in the area fairly recently, but we saw no cattle. Around dusk I decided to take a walk up on a rocky ridge a couple hundred yards north of the lake to see if I could get cell coverage to call my wife. As I left the boys were taking an old smoking rack apart and breaking the 3-5inch diameter lodgepole pine logs that it was made of against a tree most of these were rotten so they broke fairly easy but they were making quite a racket. When I reached the top of the ridge I could hear the sharp cracks as they struck the small logs against the tree. I walked back around the opposite side of the lake back towards our camp keeping an eye out for bear as I know they would start to move around dark as it cooled down, though with the boys so noisy and it being drier at this lower elevation ( not many berries at all) I doubted there were any around. But I felt a little uneasy for some reason?? So I headed back to our camp. As I approached the camp just before dark I smelled a musty smell like a pack rats den but stronger one of the other leaders commented yeah there is definately a skunk around. But it wasnt a skunk smell not that pungent just musty. So anyway I'm getting to the incident. We got the boys mostly settled and lights out in their sleeping bags about 10-11:00 O'clock I would guess. Shortly after they quieted down there was loud two part call with tremendous volume it was not man made it stated out lower then went to a high crescendo then followed by a shorter lower call. It did not sound like any of your recordings the closest sound I have found on the internet is the call of a male ibbon I believe some kind of Ape. It whatever it was repeated this call three or 4 times and got futher away each time the sound came from a draw at the north end of the lake where the soil was moist and there was fairly thick brush. I spend alot of time outdoors hiking hunting, and fishing. I have never heard anything like this sound. We had to help one of the boys who had found a leech on him. This was a few minutes after the call.I asked the boys did you hear that noise. They all said yeah what the heck was that. I said I have no idea never heard it before. A couple of the boys joked maybe it's bigfoot. I never really put everything together until later when I got home and the boys comment got me to thinking about the bigfoot possibilty. So I searched the Internet for bigfoot sounds and found your sight.After reading most all of the accounts there are some things that many of the other sightings include.I believe with the logging going on maybe this animal whatever it was was displaced from the thick timber up higher maybe it was attracted by the boys cracking the logs aginst the tree, and the musty smell shortly before the call. This call was very load and powerful and clear. "
19804," [GPS coordinates were supplied, and are shown in the internal database, but have been removed by the Editor from the public version of the report.]"
22598,"I lived in the High Desert of California in Ridgecrest, CA in Kern County from 1980 to 1985. I did a lot of hiking in the Sierra Nevada Mountains. I never saw or heard anything unusual during that time. MY Mom, Sister (& Family), and Brother and his Family still live there. My 19 year old son and I were visiting various family members from Sept 17 through Sept 27 2007 in Ridgecrest, CA. My sister took me and my son up to the Siebert family gold mine, cabin, and mining equipment on the 24th of September. We had spent about an hour at this location and we were preparing to leave. My sister was in the Port-a-Potty and my son and I heard this high pitch scream like a woman hollering, and it sounded just like the ones we heard on your sight. Just like the sound that was reported in the BFRO Report # 9426 (Class B), which is only 7 miles from that site. We yelled back thinking it was a woman in trouble and there was no reply. I asked my sister if she heard it she said no. I told her what we heard and she told me that she had horse backed and hiked through this area and had never heard anything that would make that kind of sound. She has lived and in this area since 1980. I asked her Husband whos an avid hunter, horseback trail rider and hiker in these mountains and he said that he knew of no animal that made a high pitch scream in this area. My brother- in-law also has lived in Ridgecrest, CA area all of his life. In searching for the animal that made this sound on the internet, I found this site with the sound that I had heard. It is located in Kern County, up Indian Wells Canyon Rd, off California Highway 14, at Latitude 35°41'47.44""and Longitude N117°57'54.36""W, near Owens Peak. "
24371,"I drove up Mill Creek Road to Tiger Creek Road (also called Tiger Canyon Road) and stopped at Skyline Campground (formerly squaw springs campground). I live in western Washington but grew up in Walla Walla and love the Blue Mountains. Im an avid hiker and love to enjoy the outdoors. When I get the time I like to make a hiking trip. I hadnt been to this particular site before but I had heard some of the Sasquatch stories coming out of the Tiger Canyon area. I had driven up Tiger Canyon a couple times before, including a few weeks prior in late June when the road was still blocked by snow. I thought this campground would be the perfect place to stay the night and hike the area. A friend of mine had been with on the trip when the road was blocked, but he too was busy this week so I went alone to scout out the area alone, stay the night and drive back to western Washington the next day.I had first been intrigued by the idea of Sasquatch when I found some info online while searching for hiking sites. As a kid some local friends had told me stories, but Id never been sure what to make of it. I also had read a book about Blue Mountain Bigfoot that Vance Orchard had wrote. I wasnt totally convinced that these creatures existed and did not think I would find anything about them because I figured that if there were encounters, they were very rare.I arrived at the campground at about one oclock. An older couple was there reading, enjoying the campground. I picked an area and began set up my tent. As I was pounding the stakes in I felt something hit the ground behind me. I turned around and I didnt see anything. I looked over at the couple and they were still sitting at their campsite. Whatever it was had caused a very strong vibration in the ground behind me and it couldnt have been anyone at the camp.A little bit later I started to hear a weird noise. At first I thought it was the antifreeze bubbling in my car because it was a hot day and my car was steaming a little. My car overheats a lot. The sounds were like a low rumbling growl. It was a sustained sound that lasted for just a couple seconds. However I seemed to hear it in regular intervals. The sound also seemed to kind of echo like the sound of something hollow or the sound of water down a drain which is why at the time I thought it was my car.I decided to explore the area; I walked by the two other campers and said hi. They had a poodle that barked at me little. I wanted to see if I could look over Tiger Canyon at the valley from where we were so I crossed over to the other side if Kendall Skyline Road. I couldnt see much through all the trees so I decided to head the other way. I brought a GPS device with me that had topography maps loaded on it. It showed a trail into the Wenaha-Tucannon Wilderness that I wanted to follow. As I started in that direction I noticed a very large track just to the right of a pool of water in some soft mud. It didnt really look to me as something authentically Bigfoot because the foot seemed thin. I told myself it couldnt be a footprint of a Sasquatch because I had read some stories a few weeks earlier and thought I could just be imagining it.I came back and looked around the area behind the camp where I had felt the thump. I had heard something knocking on a tree so I tried to make noise like I had done when I was hammering the tent posts. I had a little pattern of sorts that I thumped onto the ground with a rock. It seemed like at one point whatever it was mimicked the pattern of my thumps. I explored the area I thought it was coming from, but only saw a deer, so I figured maybe it was just my imagination getting the best of me. The noises stopped and I felt relieved. It was all just in my head I thought.It was now somewhere between 1:30 pm and 2 pm, and I started down towards Squaw Spring. I noticed some more prints as I walked but I still didnt believe what I was seeing. I found some that seemed to continue on further but I did not follow them since I had planned to go a few miles into the Wenaha-Tucannon Wilderness and didnt want to waste time. It also looked like there was a foot impression on a log that had fallen across the spring. This all seemed too surreal to me because there were lots of prints everywhere even some that appeared smaller, possibly a juvenile animal, but they were just thin outlines. I had never seen prints like these in person so I was unsure what I was even looking at.I kept walking and came to a clearing on the side of a grade where I found a print that was about 3 inches deep and well defined. I could see the big flat foot, the toes and heel. Suddenly I thought wow these prints are for real. I now had a feeling one of these creatures could be around any corner. I got to the top of one of the mountains to get a nice view of the wilderness area and then made my way back to camp.When I got back I was pretty tired from hiking. The two other people at the campground left in their pickup shortly after I got there and I went to relax in my tent. I was the only one at the campground now. About an hour later I heard the same low rumbling growl sound from earlier. I realized that my car had now been off for 3 or 4 hours, and there was really no way it could be the car. I was hearing more knocking and like I had earlier. It sounded like someone was smacking a branch against a tree. I realized whatever creature this was; it must be the same one that came by before because the knocking and the low growl started at the same time after being silent for so long. It sounded like it was in the same area behind my campsite where I had heard the thump earlier. It was now about 7 pm, about 2 hours until dark. Being there by myself made me very nervous, especially with the growling noise and tree knocking apparently being directed toward me and my campsite. I got out of there as fast as I could.I got back to town and felt very paranoid. I spent time walking downtown Walla Walla calming myself down and recounting the events. I had never been so scared of the outdoors. People noticed I looked visibly shaken though I had not mentioned the incident. It was hard to even tell anyone in fear of them thinking I was crazy. I set up camp at Skyline Campground (formerly Squaw Springs Campground)It is along Kendall Skyline Road. Take Mill Creek Road to Tiger Creek Rd and it is 2 or 3 miles south of where Tiger Creek Rd intersects Kendall Skyline Rd. I hiked approximately 2 miles into the Wenaha-Tucannon Wilderness. I also brought along a Garmin GPS and kept a log of my hike if someone wants to investigate the area further."
24732, GPS coordinates N 36 degrees 20.564  W 112 degrees 05.643
25703,"In November 1996 just a couple of days before thanksgiving my best friend and I were camping and deer hunting on Weyerhaeuser forestry land in SE Oklahoma the nearest town would be Smithville but even at that it would somewhere around 9 miles as the crow flies. (Land has since been sold to John Hancock Corp). This area is in the same general area as where my written report occurred.This area is used to grow soft pine trees for harvesting to grind into paper pulp. The total area is something around 800,000 acres. So you can imagine how big of an area this is. There are no homes or anyone living in this area at all, in fact you are not even allowed to build any permanent hunting cabins or such things.By this time of 1996 I had actually all but given up gun deer season, I was almost strictly a bow hunter. About 3 years before I was actually in a tree stand and had a bullet go over my head. Some idiot was out there somewhere (never seen him heard the shot but never seen the guy that pulled the trigger) anyway he was out there just taking pot shots. I had decided after that I would just stay with my bow hunting. However my buddy wanted me to go with him as he was alone, so I decided to go ahead and accompany him.The area that we camped in is an area that is very difficult to get to and rarely does anyone go into this area. You have to exit off a logging road and travel up this very steep clear cut that climbs up a small mountain. There is really not even a road as such that you have to travel along. At one time the loggers just took a dozer and cut a path the width of the dozer from the bottom of the mountain all the way up and then along the crest of the mountain. And this path is never maintained so it gets very rough and only a 4x4 can get through and even with that you have to drive at a speed little more than walking speed.This path travels about 3 miles and simply dead ends just at the start of the downward side of the mountain. Me and my buddy call it the dish. We call it that because you are traveling up this mountain in heavy forest make a curve then suddenly you are facing down and at the bottom is a area that very much resembles a satellite dish where it is void of trees and the concave shape of the ground gives the impression of a satellite dish. This clear area is about 30 feet or so in diameter.So anyway we make the journey up the mountain and take the treacherous path up to the dish. There we make our camp and it of course becomes our home away from home for the next few days. It was a bit odd this year because normally you see one or two hunting camps once you enter the area from the highway. But this time we seen not one camp or hunter. Now to take note the dish from the highway is 14 miles, now of course that is not straight line miles because you know how access and logging roads rarely run straight for any distance.On day 3 of our hunting trip we get up before daylight as usual and get ready to go out into nature and see if we find any deer. After all, that was why were there, even so I had seen nothing the previous two days but didnt really care because as usual I very much was enjoying myself with the flora and fauna. I am also very interested in geology and there is much to see in that area. To imagine that area at one time was a shallow sea never ceases to amaze me. I wish when I took my first geology course in college I would have changed my major and pursued that field further.Oh sorry there got off track didnt I.We decide which directions we were going and we plan for our rendezvous back at the dish for 12 noon. We walk together for about ½ mile camp and there we split up my buddy continues to the west along the top of the mountain and I head south down the side of the mountain.Being that it was not yet daylight and these woods are very thick and dangerous to walk in during the daylight hours due to the rough rocky terrain I was not about to do any walking until first light so after we split I only walked about 10 yards or so and sat down and waited for a few more minutes until sun up.At sun up I get up and start my hunt, I normally am not a stalker for a couple of reasons to be a successful stalker you must have coordination to walk and not make noise also you really need a lot of stamina. I possess neither of those traits. So I normally hunt from some type of stand.But I had sat for several hours the evening before and was ready to move, plus I wanted to do some exploring into a saddle I had never been into before so this day I decided to stalk.NOTE:I am using the term saddle here and will continue using that term; however it really is not a saddle as such.A saddle is the gap between where 2 mountains run close together. This area is on the same mountain but it has two ridges (or fingers extending out away from the mountain) making a gap and valley in between these two parallel fingers much like a saddle.Imagine if you will, make a fist with your left hand, then after you make a fist extend your index and middle finger out like you are making the peace sign. Your hand is the mountain and your two extended fingers are these fingers that extend out from the mountain. The width of this finger is I am guessing somewhere around 150 yards, but could not see all the way through because of the trees (more on this further below).I will be walking down that eastern finger which in the above example would be your middle finger. Your index finger will be the western finger or ridge.(I hate using the term ridge it is too vague).The distance between these two fingers were only about 50 yards apart at the mountain and by the time you get out to the tips they are nearly a hundred yards apart.So the technically are not parallel either they do diverge some. And the length of the finger I am on is about 300 yards. The length of the western finger is about 370 yards.Never went up there so I have no clue how wide across it is. Also the crest of that finger is about 20  30 yards higher than the one I am on.END OF NOTEI start walking down the mountain side and after about a half hour I reach the eastern finger of the saddle. I sit for a few minutes to rest and catch my breath before taking out down this finger of the saddle. On this finger I could view the saddle valley to my right and also could see the eastern side of the western finger of the saddle.From the top of the finger I was walking I could see very clearly down to the bottom of the saddle which was no more than 100 feet to the floor nearest the mountain and as you walked the top of the finger away from the mountain this finger sloped downward toward the valley so that by the time the finger ended the valley within the saddle was no more than 50 feet from the peak of the finger to the valley within the saddle.So from my 12 oclock position to 180 degrees to my right (clockwise) I had a totally unobstructed view. With the exception of the trees in the saddle valley. But I had a clear enough view that if a deer was in there or came through that valley there was no way I would miss seeing it.This particular course also gave me a good look at the western finger face although with many trees on it there were several spot that had no trees and the rock strata was exposed which would give me a chance to look at to see If I could distinguish the types of rock there. I could also watch the ridge top of the western finger and see anything coming over the top.Over to my right across the top of this finger is heavily wooded with mainly hardwoods however there were some pine trees among them. This is old growth trees some of the hardwood (oaks, hickory) are quite large. It is heavily wooded enough that even in the bright sun it is fairly dark in there only a few feet in.Not dark enough that you cant see but you certainly would not need sun glasses in there. It, just like up in the dish it gets dark in there long before the sun is fully set. There is very little under growth in this area because it is so sunlight challenged. And the spacing between trees are fairly wide so that if anything of any size moved through you would have no trouble sighting it.This tree line extends almost all the way to the edge of the finger. You would only have maybe 5 feet of space to walk the length of the finger clear of trees. From the edge of this finger I am on in some places are straight down into the valley below. The only way to get on this finger is from the direction I came or as I will speak to later would be from the very end or tip of this finger.So I slowly stalk down this finger, keeping just inside the tree line so as not to be exposed to the valley floor and the western finger. I stalk very slowly along in no hurry whatsoever. Understanding that stalking means walk a few steps stop, wait, and listen, and repeat. I stalk nearly the entire length of this finger and decide I need a break so I walk out of the tree line to a spot that is actually clear of trees (except for one tree about the diameter of basketball) for about an area the size of a large bedroom.There was this very fine looking stump there that actually looked like it was made for my fat butt and it was high enough that I did not even have to bend my knees very far to be sitting. I figured I would sit for a while and rest my tired legs then I would finish walking this finger all the way to the tip and look down it and into the valley across the way.Then head back because we were to hook back up at noon and by now it was 9:30 and I was a good 3 miles from camp and a very hard climb back up the mountain. (Why in the hell did I ever decide to walk down the damn mountain, I knew I would have to walk back up at some point)?As I was sitting on my fine stump I looked down the finger out to the tip. At the tip was a huge oak tree I am 5ft 10 and it would have took two of me to wrap my arms around this thing.As I was looking at this tree and trying to figure out how a tree can grow to that size in so little soil.I then notice just off to the right of this tree a figure walking up from below the tip of the finger. The figure was in bright sunlight so I immediately recognized it as walking on two feet. And he appeared to me to be walking with his head down.But my first thought was what a dumb ass. It is deer season and if you are in hunting you are required to wear blaze orange and this guy had none. Even if you are not hunting it is a good idea if youre out in the woods.Now granted I had only seen one human in 3 days and that was my hunting buddy. And even though there were no humans for miles I for one would never take a stupid chance like that. I guess I should mention also that during the deer gun season, logging operations cease and the loggers go home. The companys do not want their employees getting plugged by some knucklehead hunter.So I knew that this guy was not a logger. Then the next question came to my mine how in the hell did this guy get there? There is no logging road in that direction for a very long way. And from the nearest road it is a long ass haul to that point. And that haul would not be easy at all in fact that area is inaccessible even by an ATV.The next thought no he is not a hunter he is not carrying a rifle nor does he have one slung on his shoulders.Now remember that all these thoughts were processed in my head in a matter of micro-seconds. While this guy was walking slowly up this slope to the top of this finger that I am on.Then the next though through my mind gosh that is a cone head (from the movie) with hair. Because his head was very pointy.Next thought my god those are big assed shoulders.Next thought why in the hell is he wearing a mink coat? WTF.Next thought did god forget to give this guy a neck? It looked to me as his head was attached directly to his shoulders.Then this guy finally reaches the top and stands directly besides that big oak I was looking at just moments ago.Next thought my god that is one big MF. I have seen many football games and some of those have been up in the nose bleed section and those guys even that high up look big.But this was different I am now 83 yards from this guy and he is the biggest person I have ever seen bar none.Then the big guy looks up and looks directly at me out in front of god and everyone. It was then I realized ok I am not looking at any man but not really animal either it didnt seem.Now let me attempt to explain what big guy did. Imagine yourself standing looking straight ahead at some target and right next to you and slightly in front of you to your right is a big tree.Your desire now is to get behind that tree with little movement as possible. What you would most likely do is simply lift your left foot and pivot 90 degrees counterclockwise on your right foot with your head and neck froze in place to watch your target while moving. That is what he done.Next thought do I have any clean underwear back at camp cause me thinks I need them.Then the flight or fight response kicked in on me but I forced myself to stop think and evaluate.I determined that at 83 yards (didnt know it was exactly 83 yards at that time I went and marked off the distance later)(I was actually guessing at the time 100 yards)there was no way no matter how fast he was, that he could cover that distance before I put at least 3 bullets in him.(However I thought later than may have only pissed him off as big as he was). But anyway when I assured myself there was no real danger I calmed down and started thinking clearly again.The big guy was now standing behind that oak watching me then suddenly he popped behind the tree and I couldnt see him. So at that point I very slowly got up and moved behind that little tree near me.Then I peeked around that basketball sized tree (BTW at that time I was beach ball size so you can see the tree really offered no concealment) to see what was happing.By the time I looked back up he was once again peeking out from behind the tree. Now this time I thought that poor guy is deformed somehow because there appeared to be some kind of growth just around and below his throat.Could not make it out but definitely could see the discoloration and could see that there was something there that didnt belong.I was straining as hard as I could to make out the facial figures of this guy but try as I might there was simply no way I could make out any details of his face. My one real regret in this whole experience.Anyway we just kind of stared at each other for a couple of seconds then he popped back behind the tree. So I done the same the best I could. Here I am in an area with trees the size of Volkswagens and leave to me to pick a sapling to hide behind.After a couple of seconds behind the tree I pop out my head dont see him but I stay in that position a couple of more seconds then the big guy pops out his head again and looks at me. Now I am really confused because the growth that seemed to be on his throat is now over on top of where a clavicle would be. I dont know what is going on it is just too far away for me to make out fine detail. Someone with better vision probably would have been able to make things out better.Now here it becomes surreal and I dont know if I can put into words the way the situation seemed to instantly change. One moment I am so tense you could not have driven a straight pin up my butt with a 16 lb sledge hammer.The very next second a calm came over me and somehow I just had a feeling that there was nothing to be concerned about. So while he was looking at me I purposely leaned my rifle up against the stump I was just sitting at with him watching me.I just got the distinct feeling (yes I know the least scientific thing in the world) that he knew that I meant no harm and had no intention of doing anything to him. Maybe not maybe I am just reading more into that than I should.For lack of a better word we basically played peek-boo for another two minutes popping back and forth behind the trees.I just got a feeling he would have liked to have gotten a closer look at me just like I wanted to with him. Of course that was never going to happen. I think we may have kept doing that for a while longer but something happened that changed the circumstance.After a total of just about 3 minutes he very suddenly snaps around the other direction?I was thinking what the heck.Then I heard what he heard very large SNAP coming from the woods on top of this finger.I peed.Then the big guy turns and keeping the tree between me and him he simply walks off. He did not run or even walk particularly fast, he was walking a bit faster leaving than he did walking in but not in any panic.I figured if it was something that made him want to leave the area I better figure out quick what that made that noise. So I pick up my rifle and immediately start scanning. I want so badly to walk over to the tip to see if I can a glimpse of big guy. But I dont dare until I resolve this issue.After a couple of minutes of searching and listening to the noise I finally track to the source of the noise maker.A frigging tank rat. Damn I missed a possible chance to get a better look at big guy because of a dang tank rat. (Dont bother looking that species up that is my personal term for an armadillo).As stated above after the incident I walked off the distance and also solved one of the mysteries. The abnormal growth on big guy was not on big guy at all. It was on the tree it was a viral knot about the size of softball.I am 5 9/10, standing under the knot I could barely touch the bottom edge of the knot with my fingers standing on my tip toes and arm extended as far as I could.I found no tracks what so ever even though I knew the exact location of where he walked up and back from, but the ground was hard pan and even a D9 bull dozer would have been hard pressed to leave any marks/tracks in that ground. "
