reportID,other_witnesses
21879,Yes 2 Playing Madden 06
8316,1 witness (2 including myself)
14354,"There were 2 other witnesses; my older brother, and our friend. We were all in the back of the pickup truck, watching for deer in the spotlight, as we swept the light around the roadside."
37203,I was alone target practicing
35218,"1st incident, no other witnesses.2nd incident  at least 4 of us heard both the Howl response, and the late night crash in the woods."
39382,2 others and myself.
24656,no
22156,"One, hiking companion accompanying me."
22122,Just myself
13889,3  WALKING AROUND
16347,"There were 3 other people in my driving group, none of them reported noticing anything."
13514,2; driving eastbound. Just east of I 29
18737,4 adults heard noise at night when i woke them up. 5 adults and 4 kids saw footprints. 1 of adult slept thru night and didn't hear the noise.
2856,The only witness was my Dad and he claims he didn't see it.
2915,"no other witnesses,The other person was asleep & all others were fishing in the backcountry"
15318,2 witnesses
721,Goodbread was working in the area. He was operating a tour bus at the time of the sighting. Rowland was working in the area. He was operating a Tour bus at the time of the first two sightings and looking for the creature at the time of the third sighting.  Jan Brock was on her way to work. Vince Doerr was on his way to work.  David Shealy was searching for evidence of the creature.  The confidential submitters were bird and wildlife watching.
720,hunting hogs and driving swamp buggies
20420,5
607,
7205,"There were at least eight of us, from the Carpenters and the Laborers Union."
38893,No other witnesses
21951,3 witneses
49084,I was driving and was the only one who saw it. I had three kids sleeping in the back seat.
1719,"3, that I know of.  See text above."
722,Driving home
35940,No....only the dog.
26577,
14719,none
446,4
16683,"No witnesses, my brother and friend say I was seeing things."
75671,"One, my wife was right next to me. We were smoking a cigarette."
26947,My 11 year old daughter on the second incident. We were hunting for squirrel.
5801,no other witnesses
46728,"5 total, at different times."
34426,no
2657,I believe 8 total. We were trying to move a big slate of wood into the water
13298,JUST ME
246,none. i told my father he said he didn't want to know anything
10855,NONE
7792,3 people there total Only 2 sawWe were watching TV when we decided to go shining in the woods
56165,3 witnesses total. 11 passengers in vehicle total. Only 3 saw the creature. All were driving to the beach to watch sunset.
22074,2 including myself. I had just stoked the fire and put more logs on.  The other person was sitting in a chair eating something.
14021,my brother and my siste
75271,It was only me who heard it. Everyone else was inside the house.
62240,No witnesses.  Just me getting a quick glance
42978,Just me.  I was adjusting camera settings just prior to the sighting.
35053,
41448,"None, I was driving alone"
26377,no
18395,"YES,DON'T KNOW HOW MANY WAS IN THE CAR"
1061,"3.......but were sleeping, and told me that i was dreaming"
24586,None - no - just myself
14181,none
23399,It was just me and my friend
32426,there were about four other cars that saw and stepped on their brakes to point at what we all saw
50144,"I was the only person to see it, my wife may have misjudged it but also didn't want me to turn around."
50462,no. I was in the car alone.
46604,No other witnesses.
34954,just me
31153,"Yes, there were five adults and one child."
23582,I was the only witness.
19958,One
32249,"4, working/camping"
22358,No
14100,My friend from work Matt
12903,
1480,"just me, my girfriend was sleeping."
14118,I was driving home from work by myself.
725,
5510,"2, We had Just had breakfast"
13976,"Just me on the sound, by my immediate family saw the prints."
27778,No; mom and siblings were sleeping.
38165,"YES, WE ARE USED TO HER OR THEM, THEY WATCH US IN THE YARD AND PEER THROUGH THE WINDOWS"
38924,
20333,"Just my friend, and unfortunately we kinda lost touch after high school."
13048,1 witness Bill I will contact him to see if he will give you his statement on this encounter.
5702,No witnesses except the two mentioned.
55574,"Yes, 2 witnessesdriving"
40935,Just me and a friend were in the car which we both witnessed the same thing.
36634,One other witness
31933,No
17644,"Me (Asa Dawson) and a Buddy (Jesse Males), he was hiking/ scouting with me the whole time."
14457,No witnesses  hunters spaced apart along roadway
28418,2 PEOPLE THE SECOND  ME AND MY SIS GOING TO PICK UP THE OTHER SIS   THEN 1ST TIME I WAS ALONE
1407,3 - one was driving the Dodge window van the other 2 were looking down the highway
48599,4 - 5 people
27250,none
430,Just my brother
40618,yes
21254,"WHEN I SAW IT I LEFT AND WENT AND BROUGHT ONE OF MY FRIENDS TO LOOK AT IT, AND HE SAID HE HAD NEVER SEEN ANYTHING LIKE IT,"
32302,21 in 1st incident2 in second
59537,My husband was driving but he did not see it as I could not speak.
57884,"2 saw it, 3 smelled it.. but 4 in our vehicle, granddaughter was asleep"
17043,My husband and I.  I spotted the creature and pointed it out to him.  We were driving north at approximately 65-70 m.p.h.
59858,"there were 4 witnesses myself, my son, nephew and sister in law"
42726,Just me and my dog
37275,
33764,no
32332,2
35474,Just me.
23120,"Two, me and my father."
9282,5 We were sleeping and my husband had just left for work
23076,
598,12
12921,No
729,
11387,Only me. My husband and daughter were asleep.
728,
726,
71801,I WAS ALONE IN MY TRUCK BUT THERE WAS ANOTHER TRUCK AND I KNOW THEY SAW IT TOO BY THEIR ACTIONS.
38104,NO
5369,I was the only witness.
26271,no
45566,Yes my nephew but he till this day for some reason denies what we saw..
65655,Myself only
15170,Mom-Reading a novelDad-Driving
36218,yes my best friend at the time and myself and we reported it to two Park Ranger Employees working on the Flamingo end of the park that next morning which was a Thursday morning
1283,No witnesses
39080,There was one other witness which was my buddy that was with me. He heard all the noise but said he was frozen with fear and couldn't get up to walk down to the river and look for what was making the sounds.
72285,3. We were all next to each other attempting to listen for wild hog . We were all motionless and quite while we were listening. Prior to listen we would be whispering to communicate and lightly walking slowly.
67590,No. Called individual after recording while I was still watching it
67412,Just my husband
63433,"A car just ahead of me, a white compact sedan. I was in a red pick up. Those occupants of the car saw what I saw which I hope they read this one day and just confirm what we saw."
40564,My Brother
28634,"No, wife was in car but did not see it."
40584,First incident I was with my brother and my dad and my dad had a video camera to record us playing cause he always like to make family videos and my brother was examining the tracks along with me. The second incident I was with a friend of mine and we were just walking.
7904,"No, just me."
13961,1
74308,Just my husband
41275,"No, just me, but I know what I saw, I travel this road very often and this was way out of the ordinary. As I said in the above, you will see deer, wild turkeys, hogs at dusk, but nothing like this."
36826,"I was the only witness and I had just gotten off work, went home to shower and then left to go out to dinner with my boyfriend, his mother, sister and brother in law."
36710,5 in the car but 3 of us witnessed it. we were looking to our right and that is when we saw it.
36004,Just myself.
15694,"No, my wife was driving and didn't see a thing."
25577,just me my friend is in total denial wont even admit that alligators or fish live in the river
34787,"No, my daughters were asleep. I was the only one awake waiting fro my husband and son to return from River Country."
39338,Friend was with me but wasn't paying attention.
42134,no
33612,"The old timers have passed away. My Uncle (since deceased), was the first to spot them.  He is the one that saw the female and the male walking (as exhibited by the breasts shape that he saw on the female covered with hair). My Uncle said, that at first he thought the noises at night by his garden, was a Florida Panther, because the high pitched short scream (as he described it) sounded like a Panther, until he saw them walking!  There are three witnesses; my neighbor, son, and I."
35769,No. I was alone.
734,"My friend and I were armadillo hunting and searching for small animals (ex: armadillos, racoons, snakes, ect)"
731,Only the witness was present.
736,witness and a fellow hunter.
733,
8935,Myself and my uncle.
32308,2 witnesses including myself.
42293,3 total including myself
25582,no other witnesses to my incident
24266,"My son and his friends, both approx 10-11 yrs were playing in the sighting area.  They liked to eat tangerines and play on vines, trees and logs.  The friend didn't see, but he realized my son was upset."
15361,2 cars
737,
41892,My daughter only heard it moving around when I ran in to tell her what had happened. It was still moving about the area when she came out.
47378,"One person was with me, but they were looking in almost the opposite direction"
57991,MyselfMy MotherMy oldest Son
49777,"5, heading home from grocery shopping."
41265,One-my daughter
41309,just me on my bike
45883,Just two adults
51800,no
25129,
16823,"Yes! Me, My husband, and my son on one incident.  There was me and my son and my dad on another incident. Then there was just my dad on another incident."
12732,"First incident: My huband, and ex-neighbors and I a total of 4 people."
3918,no witneses on that acasion but where in the future
24032,onedriving car
11812,2 - watching the sunset
35529,
25979,
24893,
10192,
9113,driving to work
989,
69452,2
47021,"one person, returning from a meeting"
39014,No
10867,"Three witnesses including myself, we were all playing together."
59236,
24134,None other than myself.
44404,One other than me my step brother.
1079,2 walking down the road. We weren't looking for any bigfoot.
37304,"1, we were sleeping."
40019,Just me
31745,Yes my son and I
7109,"Two witnesses, my brother and the check station attendant (biologist).  We were talking about the day's hunt as the biologist packed up his gear from the check station."
12351,"Just my wife, but she did not hear it very well because she was inside."
1003,Riding other horse.
38923,2 people in some cases and 1 in others.
36915,me and one other.bow hunting prior to incident
28237,3
26823,my 17 yr. old son. Riding in the passenger seat of my car beside me.
28200,my father
12628,"just my dog,but he was a ways ahead of me,to my right barking his head off"
43162,"My husband and myself, we were walking around the yard and then down the yard."
49326,Just myself and my dogs
21979,1
16473,"Just myself, my friend was asleep. I was driving."
33784,"Four, though only two of us saw anything."
14427,just myself and the two dogs
20981,One witness involved.
28263,"Family Members, all were asleep under a makeshift lean to."
23498,Only myself
74678,Just myself.
40901,My daughter and myself.
36112,My friend Clint was in the car with me and he saw it before me and he yelled so I looked and saw it.
35574,myself and my two sons. we were coming back from setting turtle lines
32203,Two
31680,Myself and one other person.
19232,No
12068,"There were 2 witnesses.We were spotting alligators with flashlights, since there were several reports of two large gators in that lake.  We were poised in close proximity talking about the goings on of the day."
2848,one:  my wife.  She was reading books to our Grandchildren and asked her to step out onto the boardwalk with me while I smoked a Cigar.
747,"2, the husband and wife."
40034,Names omitted for privacy reasons.
23570,"2 total, me and my friend. We were taking a break as we were hiking and exploring."
67296,None for Kee Grrr; my brother for palmetto bed
9174,NO OTHER WITNESSES
42885,none
5884,"Although the witness' wife was in the truck with him, she was asleep at the time the sighting occurred."
32489,Myself
26396,No
17477,"My son, wife, wifes friend, and 3 of my sons friends."
33985,
19421,Just my husband who was just driving.
2094,
2093,
24125,I was the only witness and I was watching TV.
59113,No
14525,no
10874,Only 2 seen foot print.
4393,"I was the only one in the car, and saw no other cars on the road. All I was doing prior to the sighting was driving home!"
69052,2
7113,My brother and myself
7356,My hunting partner. Sleeping.
43059,No. just me. I was going to work.
75283,Not this time but in the past my mother has heard the same howling at 1-3am.
26262,My girlfriend. We were talking about the band I am in and that nights show.
25485,My husband. We were inside our house.
7004,Dogs
1864,
9712,Me and my father - but on separate incidences.
26822,"My wife witnessed the smell, but not the sighting"
1865,My wife and I had had  dinner with my parents and were leaving to go home.  Please note that no alcohol was consumed by any of  us.
27300,None other than me
58046,My father has heard the knocking. I will try to find the videos I made. And will try to get something new and promising. They will almost always show up now if I'm out there.
26352,she was the only one in the car.
15457,"No other witnesses of the actual sighting but again, the day before, my father and i found all the strange animal signs in the area. no one believed me so i just never bothered to tell anyone"
30483,No I'm a truck driver
73291,2 witnessed.  Just traveling down rd and talking
21359,jody was there and i dont know the campers that where there they where leaving when i ran back to the car
28982,"Two others, brother and his wife. But they had never been out listening for these types of sounds before, and didn't seem to hear the distant knocks or whoops."
56752,30 people saw the dead creature
447,"1, riding a horse"
18361,4 witnesses Riding 4 wheelers
43553,Just myself and Jesus.
8454,3 that I am sure of I wish I could have asked the trucker
49544,Me and my wife. We were fishing from a jon boat during initial contact.
7575,"My wife and myself, our two children were asleep."
2393,"5 total witnesses involved 2 were sleeping - (myself and SPC Shaun N.) 3 were guarding - (SGT Ken R., SPC Rodney T., PFC Tim A.)"
68899,three others watched / witnessed the sighting
26313,no - just myself
29530,Yes my 15 year old daughter who thought i was crazy but she came i think just to make fun of me. She is no longer thinking its a joke.
29318,Yes once my wife was with me but she dosen't want to talk about it i think it scares her.
30004,2. Getting ready for bed.
22813,Yes but he wsn't paying attention
6097,Four. We were playing in the grass behind the house after school.
43611,2. We were walking the trail back to our vehicle.
8405,ONE
18001,"wife,....brother,mother and sister in law"
2100,
35352,1 riding in golf cart
17249,One other my uncle
36006,2 other witnesses total.  Me and one other at each of the first two incidents. Just me on the lastfirst two incidents we were fishing both times
56061,"2, myself and my husband"
18377,
398,One. Bud. He was riding. I was driving approx 20 miles per hour.
33115,"Yes, a friend of the same age."
47523,
23808,It was only me and my husband for this particular story.
15329,My mother heard the last of the howls and a gunshot which sounded like it was from the same general direction.
35631,"No, just me, and maybe my dog. I told my husband right after, but he was asleep so he laughed."
18707,#1 had 4 other witnesses we were talking to each other.#2 had 2 other witnesses we were fishing.
21145,"one other, hunting also"
45216,Yes. 3 witnesses...
5395,"no, not that time"
18439,My whole platoon.  Bedding down for the evening.
56567,Father in law.
32435,a few
27197,"NO,JUST ME."
19129,No I was by myself.
25043,yes at least 3 others
47841,1 - he was eating in the kitchen looking out the window and it caught his attention
36238,Everyone else in home was asleep.
48086,My 13 year old son. He has higher functioning Aspergers. He can and will explain what he saw.
32254,"Sadly, no."
18044,2 My husband was driving and I was passenger
14887,"Yes, my girlfriend (may as well say wife, we have been together 18 years and lived here ten of those).She was in bed with me when I heard the dogs barking. She was asleep when I got up to quiet them down thinking that it was another dog or a deer back in the woods."
26019,NO OTHER WITNESSES
18016,Wife and children.
38870,Just myself. My mom and sister were in the house.
41169,1
38873,my wife
49286,Yes my friend who owns the place. He pointed it out.
57053,No
25574,4. They were all asleep but they witnessed the evidence.
9818,No. That is why I was scared and reluctant to report it.
44571,No other witnesses
2218,
4236,Just my friend and I.
2219,"As in the description above, we were just walking through the woods, talking as teenagers will do. We were all honor students and were content to just walk and enjoy and look at things and talk about silly or serious things. We never felt compelled to invent things to amuse ourselves or pass the time."
2220,
4109,5 other witnesses.  We were on a reconaissance patrol.
35512,"By myself, walking barefooted through the creek casting my fishing pole trying to be as quiet as possible to not spook any gar or draw any attention to myself from the wild hogs."
30135,I was the only witness.
23701,No witness. I almost always hike alone and the shelter was empty.
29326,"2 , [name removed] and me, We were just walking and talking."
9001,
30730,NONE
11030,Three witnesses   packing gear and talking
7088,My friend heard the same thing.
2589,Talking around the campfire & enjoying some solitude.
7464,
27072,"sorta.My uncle said he saw something too but he was a long ways from me and not sure if he wants to talk about it,but I can tell you that I have never seen this man scared of anything.He told me he saw a leg step out from a tree and it was hairy and had a big foot and he made a big circle back to the truck."
46328,No
25693,Just my husband and myself. My husband is out of work and stressed so he is up alot during the night. He has been outside smoking when he's heard it and then woke me up to listen.
22852,No
13178,"no, they were sleeping. we just laid down so I thought for sure one of them had heard it. I asked in the morning and they had not."
9465,no people just my dogs
8880,There were two other witnesses with me.
7237,no
28637,
23978,6 total including myself we were walking to our camp.
21193,There was a car someways behind me that slowed down a bit and I believe they saw the creature too.
72175,Yes my son
44429,
41845,6 witnesses total.
41700,My son who is 7 was playing a game on my tablet.
57358,About 3-4. We were all Cat Fishing.
9089,
57939,2 at the time and one latter.
44740,My husband-we were alone on the trail.
44111,One witness heard knock and two witnesses saw footprint.
1197,As stated above.
24056,NONE
1554,"Only  myself. My daughter and her friend were in the car, but didn't see anything as I didn't mention it to them and put it out of my mind."
22147,2.        i believe they were hunting it with compound bows and braodheaded arrows. i didnt know this until after the sighting.
39831,"Just myself, could not see any evidence of other people, e.g. trucks, ice fishing cabins, campers etc."
51678,none
36514,Two witnesses. We were fishing
30530,just myself
25071,"no,just me"
23448,"The first incident their was only 2, we were both sitting on the edge of the field. The second incident we were sitting around the campsire."
4011,"Ken [O.],driver. Carl [R.], front passenger. Al [B.], LR passenger was asleep. Jerry [O.], RR passenger looking out front. Four witnesses."
1630,"first sighting- E.W, S.W, and F.W. E.W. and S.W. where fishing, F.W. was at the camp grounds i was there but very young  most likely sleeping .second sighting-.D.W., F.W. sr, F.W. jr. The three boys (sons) where at there homes . F.W. there dad was getting of work .he worked and lived at the  gravel pit ----knocks sand and gravel . The thrid sighting was by B.W. in the summer of 2000 he was with his girl freind  J. They stood on a bridge when sighting occurred."
3093,There were 5 witnesses. They were outside with us getting ready to play hide-and-seek when we heard the noises.
56106,"2 adults, 4 children"
2264,"I was the only one who actually saw the ""thing"".  My mother and boyfriend heard the dogs just after my sighting."
1046,"2-myself, and my cousin Nick."
48686,No
2170,Five. We were playing baseball on Playstation 2.
1268,
5072,Sherriffs department and many others. One of the deputys had a daughter in my older brothers class and he said deffinetly it was a bigfoot that had left those tracks.
37336,"Just myself, and my friends father the year before."
58186,Cousin
1270,
27895,one who thought she saw what i pointed out
29125,
25836,"My husband was driving, but did not see it well."
3049,"3, including myself.  Just got off of ATV's and were starting to walk through a small stretch of woods."
23489,"None. My wife and daughter were asleep in the car at the time. After I saw it I jostled her awake, but was too scared to turn around to try and see it again. My main focus was on getting out of there and driving away as fast as possible."
511,"One adult, our son is only 4.  They were out duck hunting and at the time they were watching a crane fly away because they startled it."
6394,"No, only myself.  Wanting to do a little sledding since I couldn't sled the past weekend."
1271,I was not the only one to see this thing. A deer saw it and it saw it first. That deer was in a BIG hurry to leave the area.
26713,"myself , Mother, 1 friend and his mom and dad across the street."
2509,"Just me and my friend Brian,we didn't see anything but we both heard the heavy footsteps around our campsite. I mean they were so great that it woke us up."
48388,First time the animal or creature was seen possibly around 2005 near Wall Lake my brothers friend had seen this black harry four legged strange animal cross the gravel road. His girlfriend at the time had seen it too. Definitely nothing we know of was described as a very creepy looking animal and after they had seen it they speeded up to get home as fast as possible.
27141,"One, my ex, we were in the tent kissing{sorry but gotta be honest}"
22945,A friend was shown the first set of tracks.
58414,"Teo of us, we were in our Duck Blind."
25084,no
28427,"no witness, I did text my hunting partner about the oder when i was smelling it"
26922,yes my girlfriend and her dad
26927,
25382,none on my outing.  on the one with my relative there were 3 witnesses.
1274,sleeping
65779,No - sleeping
4987,none
2063,"Driving down the road. Myself, unfortunetly I was asleep in the car when sighting took place."
28386,"No, just my dogs and I."
28709,one
67192,None my mom was asleep and I was the only one awake in the cabin
15120,no my mom wasn't told until later on.
57872,No
29020,Just me and my wife for all 3 incidents.
29357,no one else with us. Just the two of us.
15416,"Myself, husband and two sons. We were all seting up camp. Unloading our stuff."
64180,I just went to let the dogs out and heard it
65276,Two. Setting up camp in the dark.
58251,Just myself and husband
58026,5 other witnesses and we were all hiking
56490,"Just me, I was fishing"
56861,Just me and the dog but I told my friend right after.
56270,It was just myself and I took my wife there when she was off work the following weekend. She saw the turtle shells
42647,
24693,Just me.
13828,none just me up in the woods
2059,
26487,"about 16, they missed it, I kept quiet"
20802,"My husband didn't see what I saw, but sensed the same presence as I."
25156,no
10510,My grandfather who was driving the pickup.
1801,
16527,There were 5 of us all together.we were just out for a drive and comming home when we saw it.
13692,"I was with my dad, seven year old brother, four month old sister, and step mother."
2061,Driving back from sign installation project.
20884,myself and grandson - Brandon is 17 years old
3629,"it was just myself. i was cutting firewood and had block the wood to fill the truck. i shut the saw off and started loading the truck i had the truck allmost loaded when i smelled something that really stunk and i thought a dead cow, you find them in the mt.some times and i go and check it out to see what it is.well this time i said dead cow and kept loading the truck then it dawned on me how come i did't smell it earler i stoped and look around, there it was walking up a small hill out of the ravine it put its hand on a tree like a tried old man would do and kept walking. it scared me just to see i finished the truck pretty fast and was glad when i did i left not to go back for over a year later.i had a gun in the front of the truck and a chainsaw but you forget about them. it didn't even turn around and look at me or come toward me."
50124,
63250,no
11070,No
13768,my good friend and hunting partner
61107,no other witnesses
8460,[xxx]? who has since moved. we've lost contact.
22651,"Yes, one other that saw the same thing.  We were both hiking."
2062,
56257,No
10960,"No.  Everyone else was asleep.  My brother's family brought thier dog, a 2 or 3 year old boarder collie mix.  I'm also surprised the dog did not bark at the intruder I heard near my tent."
13717,Myself and one other man heard the sounds that night.  He was in his cabin watching a video when I accosted him.  3 individuals reported to me seeing a dark creature shadowing them along a ridge adjacent to where the sounds first emminated.
3085,"There were six of us, all of us belonged in the same scout troop #32, Gooding Idaho.  Five of us are deaf.  My brother was the only hearing person in that group and he signs very well.  Many times he would interpret for me and the group when participating in scout events.  Only three deaf person, including myself saw exactly the same creature at the same time and the other three did not see it.  We used sign language to talk to eachother so some of us were paying attention to eachother when communicating in sign language.  That is probably why half of us saw this creature and the other half did not.  Between the three of us that saw the bigfoot were visibly shakened up while the other three thought we were joking around.  After the other three realized how badly shakened up we were they started to believe us.  It was not possible for the three of us to come up with the same frightening experience at the same time without any previous planning and scheme.  It was for real."
6983,"Just 1 with the sighting on the mountain, but 10 people for the thing that crossed the road."
71863,Just myself and 1 other.  We were comparing map coordinates when we heard the first lnock.
74987,My fiance and myself were the only witnesses.
38287,Just myself.
9954,One other witness to the tracks (Louie and I). Two other hunters had their camp destroyed.
30868,
63726,2
15206,"Myself and my wife, Sandi were the only witnesses."
7180,Casey and Darrel my two buddies witnessed him but Arelaina Casey's wife didn't see him in time before he disappeared and anyway we were in a circle talking and had been there for about ten minutes with the truck off just to the side of us.
2315,
10012,My wife saw it through the window when I got back into the truck.
67401,No
57248,No other witnesses.
12913,2 - They were sitting talking on the top of a knoll
7993,Two couples.  Only three people saw it. We were driving down the road on the way to Potlatch.
6758,Only my father and myself.At the time my father was falling a cedar tree.Also my father is deceased.
59343,12 (now 14) year old son.  Riding in my truck looking for deer
18050,Me and my Uncle Dee. Getting ready to go to sleep in a tent.
4187,"Not at the location, but I spoke the the local Fish and Game man the next morning, as soon as I could get ahold of him. It had rained considerably that night so we did not try to revisit the site."
2317,
59185,3 other friends seen.
18958,"Just my two horses, Lightfoot and Denver. And Myself. The Horses aren't talking!!! But I have learned to read them by their actions. When I've ran into other animals in the hills. They will stop look and snort or blow the noses if they smell some strange animal. But they couldn't smell the animals we encountered but they sure could see them but they really acted different like they were just dumbfounded. I couldn't feel the horses heart beating fast like they were frighted like I have sometimes during encounters."
6391,"NO, they where all behind the house starting the grill but, I still keep occasional contact with one of them."
57784,Just me
39086,No just me and my dog was there.
5720,
71799,2 playing cribbage talking
65924,
65369,1
69141,"2. Camping, sitting by the fire"
59472,"2 of us, camping"
7864,My wife.
23521,just my self
24224,"I was way, way alone."
62182,2 witnesses prior to the incident we were eating
15621,"I'd say 8-10 people out of a group of about 16.  Some of the group members were sleeping during the incident, as it was just after 6am on Tuesday morning.  Others had hiked to the B-23 crash site and returned with reports of wolf tracks."
7870,Several other people working for the same logging company had different sightings and encounters within the same area and time frame (a couple of days apart) as our son's encounter
2319,
8251,"My Father, older cousin , same age Cousin, and myself, On the vocalization occasion two different friends."
6929,No
58890,"Yes, my friend"
25056,No. My wife was along with me but didn't walk out to see the tracks.
12158,Only mother and little brother present but they did not see the animal.
3292,two
4741,4 witnesses total
41718,My husband and I.  He did not see it.
28423,"No, my wife was back at the campground."
36246,No
40474,
31419,Just myself.
23395,Three shooting deer.
202,No one else in the truck noticed the animal standing by the tree.
71920,Just me
6820,Two - My uncle and me shooting guns.
41318,2 witnesses
40220,one witness. She had stopped at a stop sign and was going to turn right to go home.
39990,none
28703,
28899,"Yes, my dad."
39084,No
24997,
47521,No
51417,Called friend on phone
47720,No just me at moment
45830,no
45041,I was with two other friends.
42150,Myself and my daughter and her family when I took the photo of the foot print. My husband when I found the hand print.
38395,3
35593,"2 my son and I, driving home"
30601,"One other person observed the pyramids, 'X', and arch with me, but left the area before the prints were discovered."
28728,None that I am aware of.
28525,"Yes, two"
39851,My wife and I
12984,Only my friend who was driving.
46494,I was there alone.
44644,No just me
44645,Me and my friend.
33426,No others
28110,"No other witnesses, but I called my dad."
30367,"Our mother, two sister and a brother."
28679,I'm sure other dog walkers have seen them. They're still there until we have rain or melting snow.
33911,"2, heard dogs barking"
34919,Just me.
18059,My wife and I.
42945,Just my friend
35427,1
36567,"My nieghbor boy.My 2 daughters were in the back seat but I don't really know if they have seen it because the neighbor boy and I did, or if they really saw it.  And the reason I say that is because, the road was on a slight uphill and they were in the back seat."
11273,"Not with me, but two kids left the area prior to my entering the trail.  I do not know who they were."
28568,
27146,Growl - 1 witnessWoodknock -2 witnessesPrints - 4 witnesses
28713,Just myself and my friend.
28569,
31968,1 and im sorry he died
10892,No witnesses. Although my granddad was very concerned after the fact. I was shaken up pretty good.
28714,"Three, me, my mom and my ex-brother-in-law"
50155,3 witnesses. Myself and 2 younger brothers. I don't think they remember it. They were 10 and 9 at the time
28936,Just myself driving.
12439,"Yes, three all together."
11831,No
12140,One other witness who was outside outside the vehicle.
2992,Me and my wife. We were asleep until we heard the sound and our dog started to bark.
3521,
69321,Just my wife. I was driving.
29165,two other witnesses
24975,"Two other witnesses, but I said nothing to them about it being what is described as ""typical"" bigfoot or ape behavior. As for the scream, when I said ""what are the chances of that being a bigfoot?""....people laughed, as I would expect."
3018,There were four witnesses involved.  The witnesses were talking inside a house before coming outside onto the porch which is when the sound started.
43619,"No witnesses, just myself. I like driving around and looking at wildlife."
23949,none
4099,Two
23983,Just myself.
8696,Just myself. I was driving home after work.
14404,"Just two, my wife and myself."
66182,Three separate witnesses each experiencing a separate event. The camp fire had burned out and we were all in separate sleeping arrangements for the night.
50208,1 witness my bus aide sitting next to me
40120,The first night there were 4 of us total and the second night there were 5
39267,
36306,Just one
41916,no
23760,2 my friend has passed away. I'm only witness of this event left.
40842,"My mother, my brother and my sister"
10879,"2, mushroom hunting."
65795,
29265,Yes my cousin riding in the passenger seat watching it come on to the road in front of us.  He said at first he thought it was an animal but then realized that it was on two legs.
30645,One witness. My friend. Driving her truck. We had just eaten dinner and were chatting on the drive home.
3474,
29448,Just Mary and her husband.  They had just gotten up from sleeping.
11295,Just me and a hunting friend. We were shining coon.
29836,"4, its hard to include them into to as they only abserve certain things. im the one that always keeps a eye out and ear when we are there."
26905,Two friends who did not see animal.
32616,No other witness
15019,"Yes, me and my girlfriend...my girlfriend was outside on here back porch smoking facing the tree line area as was I.  We also had our dog outside too so in order to see our dog I open my cell phone up and shined the bright display out toward the tree line and the dog."
46439,Yes my better half was in the car we was coming back home .
32162,"yes, friends"
49515,1 but others in truck with me
46878,No
38032,no
40476,"There were 2 of us, my husband and I.  We were sitting outside with a campfire and our 3 dogs--  Australian Shepherds"
30896,No
30003,
28940,One motorist.
34980,No
11911,Two
40314,Just myself. I'm supposed to close on the property this week. I'd rather have a big foot than a crazy barefoot person roaming the area.
49182,Two - my older sister (now deceased) and my next oldest sister.
31858,"Yes, me and my husband were in our car coming back home when we seen it. Whatever it was there has been a bigfoot spotted here a few years ago."
11121,My wife.
36702,Just me
30203,"Myself and a friend, he was driving."
37988,none
37522,No.  Not that I'm aware of.
55934,1 me
46917,Just myself and I was driving home.
47412,none
43319,No
38524,"Just myself. The first time I was having a potty break, the second I was watching a meteor shower."
37758,"My son heard the knocks on the house. My son and father both heard the grunt that happened this year, son and I both saw the running animal."
41043,none
25273,Several people have heard the knocking. I was alone when the howl occurred.
23418,Just me.
37697,Just me
24673,Four
58089,1
56168,No.
39268,
41487,No
27042,"None besides me, though the person in the car behind me might have seen it."
25809,none
36571,Just myself.
14872,No my wife is the only witness.
10535,Yes my friend
25267,No
28516,
39852,No
3472,
32196,My mother my wife my best friend
10910,No other with me.
3471,"My mum was standing on the back screened porch, talking to her mum on the telephone. It was mid-morning, because we were in school at the time."
29227,Yes; 3. Walking toward our cabin.
37972,5 others have seen it
25924,No
40714,I was alone
36406,No.
40995,There was one other witness beside myself.  A friend and I were hiking the hills on the back side of the state park to get him prepared for basic training in the army.
15007,no
67486,"Not that I'm aware of, I don't recall seeing anyone else out at that hour of the night."
47776,"None, just me no one else gets up at my time in the morning."
32400,just me i was jogging
39568,No
38337,
10197,"One, my friend."
28534,
28484,I had the sighting. Three sons and a son-in-law heard the sounds.
28533,
41907,
29241,My two sisters were with me during the rock throwing.
27387,
40475,"My mother, my dad"
30510,I was only witness and had been walking in woods for about half hour prior to finding print.
27692,"One, my son-in-law."
28429,"Three others were also hunting, but were not with me and did not see it."
3300,
24354,none just me
25704,
27374,Just me. My sister found the footprints with me next day.
42547,Just me
24147,no other
25362,"Two, me and my Dad. We were walking back to the trailhead."
14802,"Myself, my girlfriend and our 3 kids were camping, however my girlfriend was the only one who heard it.  Our dog, a rott/standard poodle mix, also heard it.  He was walking around the campsite and stopped in his tracks and looked towards the direction of the sounds."
13070,"2 individuals total.  Primary witness was alone, traveling to a deerstand.  Accompanying witness was approximately 300 yards away, traveling to another deerstand."
58238,"Just me. It was 5:00am, coming home from work."
39098,"It was just me there, but there was cars behind me dont know if they saw anything."
40841,none
32634,Two of us.
29612,One working in my shop.
31062,"Two witnesses, my sister and my son."
29495,"No visual sightings other than a footprint but also missing fruit, howling, scared dog, and gifting."
34728,"One, myself."
28545,4 witnesses
33040,No unfortunately just me. I have never told anyone except my wife because they would think I was crazy.
